Query ID,Industry,User Intent,Search Type,Query Category,User Query,Funnel Stage,Priority,Status,Last Tested,Research Notes
SAAS041,SaaS,Brand Comparison,Compare,AI,claude vs gemini,Consideration,High,Not Started,,
SAAS042,SaaS,Brand Comparison,Compare,Help Desk,zendesk vs freshdesk,Consideration,High,Not Started,,
SAAS043,SaaS,Brand Comparison,Compare,Accounting,quickbooks vs xero,Consideration,High,Not Started,,
SAAS044,SaaS,Brand Comparison,Compare,Payroll,gusto vs rippling,Consideration,High,Not Started,,
SAAS045,SaaS,Brand Comparison,Compare,HR,bamboohr vs rippling,Consideration,High,Not Started,,
SAAS046,SaaS,Product Alternatives,Alternative,CRM,alternatives to hubspot,Consideration,High,Not Started,,
SAAS047,SaaS,Product Alternatives,Alternative,CRM,best hubspot alternatives,Consideration,High,Not Started,,
SAAS048,SaaS,Product Alternatives,Alternative,CRM,salesforce alternatives,Consideration,High,Not Started,,
SAAS049,SaaS,Product Alternatives,Alternative,CRM,zoho crm alternatives,Consideration,High,Not Started,,
SAAS050,SaaS,Product Alternatives,Alternative,CRM,pipedrive alternatives,Consideration,High,Not Started,,
SAAS051,SaaS,Product Alternatives,Alternative,SEO,semrush alternatives,Consideration,High,Not Started,,
SAAS052,SaaS,Product Alternatives,Alternative,SEO,ahrefs alternatives,Consideration,High,Not Started,,
SAAS053,SaaS,Product Alternatives,Alternative,SEO,moz alternatives,Consideration,High,Not Started,,
SAAS054,SaaS,Product Alternatives,Alternative,Project Management,clickup alternatives,Consideration,High,Not Started,,
SAAS055,SaaS,Product Alternatives,Alternative,Project Management,asana alternatives,Consideration,High,Not Started,,
SAAS056,SaaS,Product Alternatives,Alternative,Project Management,monday alternatives,Consideration,High,Not Started,,
SAAS057,SaaS,Product Alternatives,Alternative,Email Marketing,mailchimp alternatives,Consideration,High,Not Started,,
SAAS058,SaaS,Product Alternatives,Alternative,Email Marketing,convertkit alternatives,Consideration,High,Not Started,,
SAAS059,SaaS,Product Alternatives,Alternative,AI,chatgpt alternatives,Consideration,High,Not Started,,
SAAS060,SaaS,Product Alternatives,Alternative,AI,claude alternatives,Consideration,High,Not Started,,
SAAS061,SaaS,Product Alternatives,Alternative,AI,gemini alternatives,Consideration,High,Not Started,,
SAAS062,SaaS,Product Alternatives,Alternative,Help Desk,zendesk alternatives,Consideration,High,Not Started,,
SAAS063,SaaS,Product Alternatives,Alternative,Accounting,quickbooks alternatives,Consideration,High,Not Started,,
SAAS064,SaaS,Product Alternatives,Alternative,Payroll,gusto alternatives,Consideration,High,Not Started,,
SAAS065,SaaS,Product Alternatives,Alternative,HR,bamboohr alternatives,Consideration,High,Not Started,,
